"Pattern","RelativePath","LineNumber","Preview"
"BEGIN META SECTION","Engine/Build/Android/Java/src/com/epicgames/unreal/GameActivity.java.template","6244","// BEGIN META SECTION - Fix activity hang when application is deployed while screen is locked"
"BEGIN META SECTION","Engine/Config/ConfigRedirects.ini","71","; BEGIN META SECTION - XR Soft Occlusions"
"BEGIN META SECTION","Engine/Plugins/Online/OnlineSubsystemEOS/Source/OnlineSubsystemEOS/Private/UserManagerEOS.cpp","472","// BEGIN META SECTION - Quest Device ID Support"
"BEGIN META SECTION","Engine/Plugins/Online/OnlineSubsystemEOS/Source/OnlineSubsystemEOS/Private/UserManagerEOS.cpp","581","// BEGIN META SECTION - Quest Device ID Support"
"BEGIN META SECTION","Engine/Plugins/Online/OnlineSubsystemEOS/Source/OnlineSubsystemEOS/Private/UserManagerEOS.cpp","641","	// BEGIN META SECTION - Quest Device ID Support"
"BEGIN META SECTION","Engine/Plugins/Online/OnlineSubsystemEOS/Source/OnlineSubsystemEOS/Private/UserManagerEOS.cpp","1961","// BEGIN META SECTION - Quest Device ID Support"
"BEGIN META SECTION","Engine/Plugins/Runtime/nDisplay/Source/DisplayCluster/Private/Render/Device/DisplayClusterDeviceBase.cpp","439","// BEGIN META SECTION - Stereo Render Target Size"
"BEGIN META SECTION","Engine/Plugins/Runtime/nDisplay/Source/DisplayCluster/Private/Render/Device/DisplayClusterDeviceBase.cpp","458","	// BEGIN META SECTION - Stereo Render Target Size"
"BEGIN META SECTION","Engine/Plugins/Runtime/nDisplay/Source/DisplayCluster/Private/Render/Device/DisplayClusterDeviceBase.h","84","	// BEGIN META SECTION - Stereo Render Target Size"
"OCULUS_BRANCH","Engine/Plugins/Runtime/OculusXR/OculusXR/Source/MRUtilityKit/Private/MRUtilityKitBPLibrary.cpp","304","#if defined(WITH_OCULUS_BRANCH)"
"WITH_OCULUS_BRANCH","Engine/Plugins/Runtime/OculusXR/OculusXR/Source/MRUtilityKit/Private/MRUtilityKitBPLibrary.cpp","304","#if defined(WITH_OCULUS_BRANCH)"
"OCULUS_BRANCH","Engine/Plugins/Runtime/OculusXR/OculusXR/Source/MRUtilityKit/Private/MRUtilityKitOpenXrExtensionPlugin.cpp","10","#if defined(WITH_OCULUS_BRANCH)"
"WITH_OCULUS_BRANCH","Engine/Plugins/Runtime/OculusXR/OculusXR/Source/MRUtilityKit/Private/MRUtilityKitOpenXrExtensionPlugin.cpp","10","#if defined(WITH_OCULUS_BRANCH)"
"OCULUS_BRANCH","Engine/Plugins/Runtime/OculusXR/OculusXR/Source/OculusXRHMD/Private/OculusXRFunctionLibraryOpenXR.cpp","329","#ifdef WITH_OCULUS_BRANCH"
